quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid
4,10.0,0.54,0.35,48.0,0.24
5,10.5,0.58,0.6,44.0,0.08
6,9.3,0.67,0.4,17.0,0.41
7,11.8,0.66,0.51,15.0,0.64
5,9.5,0.93,0.56,47.0,0.19
6,10.9,0.6,0.55,56.0,0.04
7,10.5,0.56,0.58,18.0,0.01
6,10.0,0.61,0.54,40.0,0.28
6,10.3,0.83,0.53,44.0,0.06
5,11.0,0.54,0.6,45.0,0.08
6,11.9,0.53,0.36,8.0,0.66
5,10.4,0.6,0.48,61.0,0.25
6,10.8,0.53,0.63,39.0,0.01
5,9.5,0.46,0.47,29.0,0.47
5,10.5,0.47,0.49,14.0,0.1
6,9.0,0.65,0.52,38.0,0.25
6,9.1,0.62,0.58,63.0,0.13
5,9.4,0.56,0.66,40.0,0.0
8,9.8,0.82,0.31,29.0,0.72
6,10.6,0.6,0.46,34.0,0.24
6,9.6,0.66,0.56,46.0,0.08
5,10.1,0.54,0.6,99.0,0.03
5,9.4,0.58,0.39,20.0,0.08
4,10.0,0.52,0.5,14.0,0.24
6,10.4,0.81,0.2,51.0,0.43
5,11.2,0.72,0.48,16.0,0.29
5,9.8,0.5,0.87,31.0,0.0
6,11.8,0.57,0.74,10.0,0.09
5,9.0,0.53,0.62,24.0,0.08
5,9.1,0.61,0.69,27.0,0.05
6,9.5,0.59,0.38,70.0,0.3
7,12.0,1.13,0.27,18.0,0.53
5,10.3,0.53,0.48,16.0,0.28
6,12.5,0.7,0.43,16.0,0.45
7,10.5,0.68,0.5,42.0,0.59
7,10.8,0.77,0.3,28.0,0.74
5,11.95,0.54,0.65,18.0,0.06
6,11.3,0.62,0.36,10.0,0.52
4,12.0,0.56,0.4,10.0,0.4
4,9.0,0.48,0.55,42.0,0.03
6,12.7,0.44,0.18,109.0,0.37
5,9.8,0.5,0.87,31.0,0.0
6,12.8,0.61,0.75,32.0,0.01
7,11.2,0.81,0.37,19.0,0.43
6,9.5,0.62,0.43,86.0,0.34
6,9.5,0.58,0.58,94.0,0.23
5,9.2,0.54,0.58,65.0,0.08
6,10.7,0.43,0.91,47.0,0.07
5,9.6,0.49,0.48,64.0,0.08
6,10.1,0.97,0.18,23.0,0.51
6,10.8,0.49,0.725,17.0,0.09
5,9.4,0.55,0.4,142.0,0.49
6,10.5,0.63,0.4,62.0,0.31
5,9.1,0.59,0.47,106.0,0.49
5,9.8,0.46,0.53,19.0,0.01
7,11.0,0.85,0.36,44.0,0.46
6,11.4,0.55,0.38,12.0,0.57
5,10.7,0.49,0.46,37.0,0.14
5,9.5,0.54,0.62,85.0,0.06
5,10.3,0.64,0.43,58.0,0.32
4,11.3,0.64,0.935,86.0,0.22
6,9.5,0.81,0.34,53.0,0.52
6,9.9,0.68,0.53,22.0,0.13
6,10.2,0.63,0.63,69.0,0.28
6,9.2,0.56,0.43,37.0,0.36
6,10.8,0.62,0.57,35.0,0.02
6,11.8,0.89,0.62,46.0,0.12
7,11.5,0.71,0.66,59.0,0.39
3,10.2,0.52,0.875,14.0,0.05
5,11.2,0.8,0.47,28.0,0.27
5,9.5,0.6,0.45,72.0,0.34
5,10.1,0.9,0.57,89.0,0.25
5,10.5,0.53,0.35,21.0,0.48
5,10.2,0.61,0.57,26.0,0.02
5,9.3,0.52,0.63,119.0,0.17
5,9.5,0.55,0.5,143.0,0.33
3,9.95,0.63,0.76,12.0,0.02
5,9.0,1.17,0.49,62.0,0.51
6,9.5,0.54,0.67,48.0,0.1
6,11.6,0.56,0.74,26.0,0.09
7,10.0,0.47,0.65,21.0,0.0
5,9.5,0.52,0.73,13.0,0.21
5,9.7,0.54,0.49,44.0,0.19
6,10.3,0.6,0.57,36.0,0.05
5,10.0,0.67,0.785,21.0,0.24
7,10.8,1.05,0.24,22.0,0.42
7,10.0,0.7,0.31,28.0,0.09
6,12.2,0.6,0.4,46.0,0.43
6,9.4,0.54,0.53,105.0,0.24
6,14.0,0.79,0.46,18.0,0.45
6,9.3,0.65,0.45,18.0,0.23
4,11.0,0.58,0.845,14.0,0.01
5,11.3,0.56,0.78,15.0,0.23
5,12.9,0.55,0.605,25.0,0.05
6,11.9,0.53,0.36,8.0,0.66
5,9.2,0.42,0.81,85.0,0.25
5,9.2,0.52,0.42,88.0,0.21
6,10.4,0.6,0.83,43.0,0.0
6,11.3,0.6,0.69,21.0,0.07
5,9.4,0.55,0.57,144.0,0.27
6,9.0,0.47,0.34,57.0,0.38
5,9.2,1.34,0.46,45.0,0.59
6,10.1,0.64,0.63,28.0,0.33
7,10.5,0.56,0.58,18.0,0.01
5,9.7,0.6,0.685,22.0,0.0
7,12.8,0.55,0.36,8.0,0.32
5,10.6,0.97,0.32,58.0,0.25
5,9.5,0.55,0.58,32.0,0.22
6,13.6,0.66,0.4,80.0,0.5
6,11.7,0.57,0.44,64.0,0.2
7,11.2,0.54,0.34,10.0,0.36
6,9.9,0.52,0.38,49.0,0.06
6,10.4,0.64,0.77,74.0,0.12
6,9.6,0.72,0.5,31.0,0.18
5,9.8,0.53,0.61,88.0,0.26
5,9.5,0.64,0.5,27.0,0.46
6,11.8,0.53,0.605,31.0,0.02
6,9.7,0.67,0.31,46.0,0.44
6,12.4,0.86,0.53,19.0,0.6
7,11.0,0.9,0.24,24.0,0.47
6,10.8,0.61,0.39,35.0,0.69
6,10.4,0.68,0.42,64.0,0.09
6,13.2,0.57,0.38,11.0,0.48
7,11.6,0.66,0.34,9.0,0.4
5,9.3,0.71,0.69,112.0,0.49
5,9.6,0.47,0.835,19.0,0.03
5,9.7,0.53,0.31,85.0,0.57
5,9.4,0.49,0.39,27.0,0.12
5,9.6,0.42,0.655,35.0,0.26
7,11.7,0.84,0.3,25.0,0.34
7,11.2,0.68,0.685,43.0,0.76
6,11.7,0.57,0.36,42.0,0.24
6,11.4,0.65,0.715,35.0,0.0
5,9.5,0.61,0.565,112.0,0.34
6,11.6,0.63,0.52,32.0,0.08
5,10.5,0.51,0.49,37.0,0.19
6,9.1,0.48,0.84,10.0,0.34
8,10.0,1.1,0.33,13.0,0.33
6,10.5,0.54,0.51,31.0,0.02
5,9.4,0.56,0.7,34.0,0.0
6,9.5,0.71,0.67,13.0,0.55
5,9.9,0.49,0.6,105.0,0.22
6,9.2,0.66,0.34,15.0,0.45
6,11.3,0.58,0.58,11.0,0.0
6,12.5,0.59,0.74,46.0,0.0
6,9.9,0.96,0.66,23.0,0.0
5,9.5,0.58,0.35,102.0,0.21
6,10.5,0.61,0.52,38.0,0.42
6,9.8,0.56,0.6,91.0,0.26
5,9.4,0.66,0.745,134.0,0.56
5,9.4,0.54,0.67,27.0,0.0
5,9.2,0.67,0.695,56.0,0.0
7,14.0,0.74,0.42,42.0,0.0
5,9.5,0.58,0.66,13.0,0.0
5,11.0,0.88,0.41,55.0,0.52
6,9.0,0.59,0.545,35.0,0.18
5,9.3,0.58,0.61,65.0,0.2
5,9.3,0.6,0.52,30.0,0.33
7,11.7,0.39,0.28,100.0,0.28
5,9.3,0.61,0.615,19.0,0.22
5,11.2,0.53,0.46,44.0,0.0
6,9.4,0.67,0.64,23.0,0.02
4,10.9,0.55,0.685,9.0,0.07
4,11.2,0.5,0.88,47.0,0.03
5,9.7,0.53,0.615,72.0,0.28
6,10.1,0.7,0.685,31.0,0.11
7,11.0,0.85,0.36,44.0,0.46
6,9.6,0.7,0.37,58.0,0.2
5,10.5,0.83,0.45,87.0,0.36
6,11.1,0.72,0.72,49.0,0.09
6,10.7,0.67,0.545,61.0,0.06
5,9.4,0.49,0.39,27.0,0.12
6,9.8,0.49,0.58,109.0,0.1
6,10.7,0.58,0.59,43.0,0.01
5,9.5,0.52,0.68,51.0,0.07
5,9.5,0.68,0.57,11.0,0.02
6,12.5,0.65,0.58,70.0,0.23
6,11.2,0.56,0.57,64.0,0.0
5,9.4,0.62,0.48,122.0,0.32
5,9.4,0.48,0.49,36.0,0.24
5,9.5,0.64,0.43,66.0,0.29
6,9.7,0.67,0.27,21.0,0.62
5,9.6,0.73,0.63,29.0,0.06
6,11.3,0.66,0.68,54.0,0.01
6,9.3,0.58,0.62,62.0,0.21
6,11.8,0.89,0.62,46.0,0.12
6,11.0,0.81,0.35,47.0,0.33
4,9.4,0.6,0.975,67.0,0.04
6,9.4,0.54,0.39,46.0,0.31
5,10.5,0.71,0.43,128.0,0.42
7,10.9,0.83,0.31,10.0,0.53
5,9.6,0.54,0.64,130.0,0.17
5,9.5,0.69,0.57,16.0,0.02
5,10.9,0.69,0.7,35.0,0.06
5,12.0,0.63,0.64,26.0,0.09
5,9.8,0.54,0.46,58.0,0.31
6,9.6,0.81,0.52,20.0,0.07
5,9.2,0.55,0.32,50.0,0.25
5,9.8,0.64,0.54,36.0,0.13
5,9.7,0.57,0.66,86.0,0.03
7,11.9,0.76,0.12,21.0,0.45
5,10.5,0.68,0.55,34.0,0.19
5,9.3,1.14,0.655,151.0,0.49
6,11.5,0.57,0.51,34.0,0.14
5,9.5,0.39,0.655,12.0,0.03
5,11.2,0.62,0.5,17.0,0.74
6,10.3,1.36,0.29,57.0,0.35
6,10.6,1.04,0.28,46.0,0.48
6,11.1,0.85,0.47,38.0,0.27
7,13.6,0.73,0.42,88.0,0.0
6,9.3,0.6,0.54,31.0,0.26
6,10.0,0.74,0.46,44.0,0.24
6,9.9,0.7,0.6,34.0,0.0
5,9.3,0.56,0.39,23.0,0.16
5,9.7,0.57,0.66,86.0,0.03
6,11.0,0.75,0.51,40.0,0.13
6,11.1,0.77,0.61,24.0,0.08
5,9.5,1.22,0.39,125.0,0.44
6,10.0,0.8,0.415,43.0,0.68
6,11.0,0.69,0.44,14.0,0.39
5,9.9,0.53,0.735,124.0,0.02
5,11.1,0.54,0.915,39.0,0.29
3,8.4,0.63,0.61,16.0,0.49
6,11.0,0.71,0.33,35.0,0.41
6,11.1,0.83,0.5,39.0,0.21
5,10.0,0.62,0.86,28.0,0.26
6,9.5,0.55,0.68,44.0,0.11
7,13.6,0.88,0.47,89.0,0.11
7,13.6,0.88,0.36,38.0,0.34
5,9.4,0.62,0.54,40.0,0.45
6,9.5,0.56,0.51,25.0,0.01
6,11.4,0.65,0.45,12.0,0.11
6,9.8,0.56,0.6,91.0,0.26
5,10.3,0.61,0.38,42.0,0.49
5,9.5,0.6,0.44,111.0,0.49
5,9.2,0.51,0.575,65.0,0.22
6,10.6,0.81,0.43,28.0,0.02
4,9.6,0.7,0.38,84.0,0.48
6,11.2,0.58,0.58,7.0,0.16
5,9.7,0.54,0.635,86.0,0.07
5,9.4,0.49,0.6,121.0,0.26
7,9.9,0.66,0.28,21.0,0.49
6,10.9,0.72,0.5,68.0,0.45
6,9.9,0.7,0.68,39.0,0.16
7,10.5,0.92,0.59,16.0,0.16
6,11.3,0.69,0.44,18.0,0.09
6,9.5,0.67,0.65,25.0,0.02
6,9.8,0.87,0.5,21.0,0.12
5,9.5,0.49,0.78,13.0,0.1
5,12.8,0.6,0.57,49.0,0.28
5,9.1,1.56,0.61,29.0,0.29
5,11.5,0.62,1.04,96.0,0.24
6,10.4,0.62,0.65,15.0,0.02
6,10.6,0.73,0.47,19.0,0.4
5,9.2,0.64,0.4,52.0,0.4
5,9.3,1.09,0.635,62.0,0.37
5,9.6,0.44,0.5,14.0,0.49
5,10.0,0.44,0.55,17.0,0.09
5,11.4,0.56,0.59,13.0,0.01
4,9.6,0.44,0.955,19.0,0.05
6,9.8,0.48,0.585,30.0,0.18
5,9.7,0.57,0.58,104.0,0.25
6,11.5,0.63,0.74,16.0,0.03
5,10.1,0.54,0.695,20.0,0.13
5,9.0,0.58,0.49,85.0,0.33
6,10.8,0.76,0.47,66.0,0.43
5,10.0,0.56,0.58,37.0,0.66
5,10.2,0.6,0.68,28.0,0.24
5,9.5,0.91,0.43,37.0,0.21
7,11.8,0.74,0.28,15.0,0.35
3,9.0,0.57,0.58,47.0,0.66
5,10.1,0.54,0.85,54.0,0.14
7,10.0,0.65,0.48,54.0,0.32
6,9.5,0.63,0.43,12.0,0.44
5,9.3,0.57,0.57,119.0,0.23
5,9.4,0.62,0.67,141.0,0.55
5,11.5,0.52,0.875,14.0,0.13
5,10.1,0.54,0.675,82.0,0.07
7,12.0,0.85,0.44,76.0,0.73
8,11.7,0.69,0.42,12.0,0.39
5,10.7,0.61,0.33,12.0,0.44
7,11.3,0.78,0.26,47.0,0.34
5,9.8,0.58,0.45,66.0,0.38
8,11.7,0.92,0.3,17.0,0.56
6,12.7,0.52,0.36,39.0,0.19
6,12.2,0.62,0.39,53.0,0.33
6,10.1,0.64,0.18,15.0,0.48
5,9.8,0.71,0.59,71.0,0.07
6,11.4,0.76,0.52,13.0,0.45
5,9.6,0.82,0.745,63.0,0.11
6,11.4,0.87,0.43,19.0,0.5
5,9.8,0.56,0.9,10.0,0.06
6,10.9,0.63,0.9,17.0,0.0
4,9.6,0.57,0.46,49.0,0.49
6,11.4,0.84,0.54,55.0,0.0
6,10.0,0.6,0.64,29.0,0.0
6,9.8,0.58,0.63,91.0,0.27
5,11.0,0.57,0.625,49.0,0.16
5,9.3,1.31,0.41,69.0,0.68
6,12.8,0.59,0.51,27.0,0.15
7,12.5,0.71,0.25,10.0,0.39
6,9.3,0.6,0.54,31.0,0.26
5,10.9,0.87,0.56,27.0,0.49
8,12.9,0.82,0.85,88.0,0.05
7,11.7,0.74,0.65,38.0,0.01
5,9.4,0.47,0.66,9.0,0.04
5,10.4,0.58,0.4,50.0,0.5
5,9.8,0.6,0.52,92.0,0.03
5,10.2,0.52,0.64,101.0,0.1
6,10.6,0.6,0.46,34.0,0.24
5,11.7,0.49,0.58,22.0,0.2
5,9.6,0.44,0.56,22.0,0.04
7,12.5,0.77,0.31,43.0,0.39
6,11.0,0.7,0.58,69.0,0.28
6,11.3,0.63,0.64,33.0,0.0
5,9.2,0.58,0.77,92.0,0.2
5,9.6,0.56,0.805,20.0,0.0
5,9.5,0.62,0.63,96.0,0.48
6,9.5,0.6,0.49,16.0,0.36
5,9.5,0.62,0.56,86.0,0.22
6,10.3,0.78,0.3,61.0,0.48
5,9.8,0.66,0.64,31.0,0.21
6,10.4,0.48,0.33,9.0,0.46
4,9.2,0.59,0.67,75.0,0.19
6,11.9,0.6,0.25,50.0,0.43
6,11.6,1.03,0.58,14.0,0.56
5,10.1,0.54,0.6,99.0,0.03
7,12.5,0.77,0.31,43.0,0.39
6,10.0,0.9,0.25,33.0,0.49
6,9.4,0.8,0.26,27.0,0.42
6,10.2,0.9,0.24,73.0,0.33
5,10.9,0.39,0.725,11.0,0.05
8,11.0,0.65,0.35,16.0,0.53
6,9.4,0.91,0.54,27.0,0.04
6,10.3,0.53,0.33,11.0,0.47
5,9.4,0.56,0.7,34.0,0.0
6,10.9,0.94,0.24,22.0,0.34
4,11.8,0.56,0.67,20.0,0.0
5,11.4,0.55,0.34,18.0,0.42
6,8.7,0.87,0.24,25.0,0.4
5,9.6,0.78,0.32,15.0,0.59
5,9.1,0.49,0.6,15.0,0.29
6,11.2,0.76,0.55,51.0,0.1
5,10.2,1.17,0.6,110.0,0.3
6,11.1,0.59,0.43,67.0,0.24
5,9.5,0.49,0.39,18.0,0.63
5,9.4,1.06,0.36,18.0,0.6
7,9.9,0.76,0.41,41.0,0.54
5,10.5,0.73,0.38,72.0,0.6
6,10.0,0.56,0.725,62.0,0.24
5,9.5,0.47,0.38,35.0,0.21
6,11.1,0.72,0.67,24.0,0.0
7,10.8,0.81,0.37,42.0,0.44
5,9.4,0.48,0.34,68.0,0.28
7,12.5,0.52,0.27,17.0,0.49
4,9.2,0.53,0.675,43.0,0.26
6,9.7,0.47,0.745,48.0,0.18
6,11.6,0.74,0.69,81.0,0.31
7,11.7,0.62,0.56,29.0,0.14
4,11.4,0.43,1.09,31.0,0.06
5,9.0,0.64,0.42,42.0,0.31
5,11.2,0.8,0.47,28.0,0.27
5,11.1,0.74,0.645,23.0,0.49
6,11.0,0.85,0.38,71.0,0.32
5,11.1,0.63,0.23,67.0,0.4
5,9.5,0.59,0.41,11.0,0.24
7,12.1,0.62,0.33,13.0,0.41
4,10.0,0.61,0.785,13.0,0.0
6,10.7,0.62,0.5,46.0,0.39
5,10.4,0.62,0.41,47.0,0.24
6,10.7,0.79,0.5,20.0,0.49
5,9.5,0.55,0.65,40.0,0.1
5,9.9,0.45,0.64,133.0,0.21
5,12.9,0.58,0.66,15.0,0.0
6,10.2,0.63,0.51,73.0,0.15
6,10.0,0.78,0.32,37.0,0.44
6,10.0,0.92,0.56,46.0,0.31
6,10.9,0.69,0.45,23.0,0.63
7,11.0,0.85,0.36,44.0,0.46
6,9.5,0.82,0.62,38.0,0.08
5,9.8,0.54,0.92,93.0,0.24
5,9.1,0.55,0.725,41.0,0.22
7,10.8,0.69,0.635,33.0,0.1
