quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid,density,chlorides,fixed acidity,pH,free sulfur dioxide,residual sugar
5,9.4,0.56,0.7,34.0,0.0,0.9978,0.076,7.4,3.51,11.0,1.9
5,9.8,0.68,0.88,67.0,0.0,0.9968,0.098,7.8,3.2,25.0,2.6
5,9.8,0.65,0.76,54.0,0.04,0.997,0.092,7.8,3.26,15.0,2.3
6,9.8,0.58,0.28,60.0,0.56,0.998,0.075,11.2,3.16,17.0,1.9
5,9.4,0.56,0.7,34.0,0.0,0.9978,0.076,7.4,3.51,11.0,1.9
5,9.4,0.56,0.66,40.0,0.0,0.9978,0.075,7.4,3.51,13.0,1.8
5,9.4,0.46,0.6,59.0,0.06,0.9964,0.069,7.9,3.3,15.0,1.6
7,10.0,0.47,0.65,21.0,0.0,0.9946,0.065,7.3,3.39,15.0,1.2
7,9.5,0.57,0.58,18.0,0.02,0.9968,0.073,7.8,3.36,9.0,2.0
5,9.2,0.54,0.58,65.0,0.08,0.9959,0.097,6.7,3.28,15.0,1.8
5,9.9,0.52,0.615,59.0,0.0,0.9943,0.089,5.6,3.58,16.0,1.6
5,9.1,1.56,0.61,29.0,0.29,0.9974,0.114,7.8,3.26,9.0,1.6
7,10.5,0.75,0.28,103.0,0.56,0.9969,0.092,8.5,3.3,35.0,1.8
6,9.2,1.08,0.32,56.0,0.51,0.9969,0.341,7.9,3.04,17.0,1.8
5,9.7,0.65,0.39,71.0,0.31,0.9982,0.082,7.6,3.52,23.0,2.3
5,9.5,0.91,0.43,37.0,0.21,0.9966,0.106,7.9,3.17,10.0,1.6
5,9.4,0.53,0.49,67.0,0.11,0.9968,0.084,8.5,3.17,9.0,2.3
6,9.7,0.63,0.4,40.0,0.14,0.9968,0.085,6.9,3.43,21.0,2.4
5,9.3,0.56,0.39,23.0,0.16,0.9955,0.08,6.3,3.34,11.0,1.4
5,9.5,0.59,0.41,11.0,0.24,0.9962,0.08,7.6,3.28,4.0,1.8
5,9.4,0.55,0.71,35.0,0.0,0.9972,0.08,7.1,3.47,14.0,1.9
6,9.8,0.59,0.645,16.0,0.0,0.9964,0.082,7.8,3.38,8.0,2.0
5,10.1,0.54,0.675,82.0,0.07,0.9958,0.089,6.7,3.35,17.0,2.4
5,9.8,0.66,0.655,113.0,0.12,0.9966,0.083,8.3,3.17,15.0,2.3
5,9.2,0.55,0.32,50.0,0.25,0.9957,0.103,5.2,3.38,13.0,1.8
6,9.6,0.55,0.645,18.0,0.0,0.9986,0.086,7.8,3.4,5.0,5.5
6,10.8,0.6,0.6,15.0,0.14,0.9975,0.086,7.8,3.42,3.0,2.4
7,9.7,0.73,0.38,30.0,0.28,0.9968,0.066,8.1,3.23,13.0,2.1
5,10.5,0.83,0.45,87.0,0.36,0.9978,0.074,7.3,3.33,12.0,5.9
4,9.3,0.51,0.61,46.0,0.3,0.9976,0.088,8.8,3.26,17.0,2.8
6,10.5,0.9,0.49,14.0,0.2,0.9968,0.332,7.5,3.21,8.0,2.6
5,10.3,1.2,0.66,23.0,0.22,0.9968,0.069,8.1,3.3,9.0,2.2
4,13.1,0.56,0.52,65.0,0.15,0.9934,0.054,4.6,3.9,8.0,2.1
5,9.2,0.73,0.935,114.0,0.43,0.997,0.114,7.7,3.25,22.0,2.2
5,9.2,0.74,0.66,23.0,0.26,0.9971,0.074,8.8,3.15,4.0,1.7
6,9.4,0.63,0.52,15.0,0.04,0.9956,0.069,6.6,3.4,8.0,2.2
6,9.4,0.64,0.5,14.0,0.04,0.9955,0.068,6.6,3.39,6.0,2.1
5,9.4,0.56,0.38,119.0,0.36,0.997,0.081,8.6,3.2,30.0,3.0
6,10.2,0.63,0.51,73.0,0.15,0.9955,0.11,7.6,3.17,33.0,2.8
5,9.6,0.63,0.42,10.0,0.57,0.9971,0.07,10.2,3.04,4.0,3.4
5,10.0,0.59,0.59,54.0,0.18,0.9975,0.076,7.8,3.43,17.0,2.3
6,9.4,0.54,0.39,46.0,0.31,0.9962,0.074,7.3,3.41,9.0,2.4
5,9.2,0.64,0.4,52.0,0.4,0.998,0.079,8.8,3.44,19.0,2.2
5,9.3,0.71,0.69,112.0,0.49,0.9968,0.115,7.7,3.21,20.0,1.8
5,9.8,0.57,0.735,54.0,0.05,0.9966,0.081,7.0,3.39,13.0,2.0
5,10.9,0.39,0.725,11.0,0.05,0.9962,0.086,7.2,3.41,4.0,4.65
5,10.9,0.39,0.725,11.0,0.05,0.9962,0.086,7.2,3.41,4.0,4.65
5,10.7,0.58,0.705,15.0,0.07,0.9962,0.076,6.6,3.44,6.0,1.6
6,10.5,0.95,0.705,19.0,0.05,0.9962,0.074,8.0,3.34,8.0,1.9
5,9.5,0.48,0.69,94.0,0.22,0.9961,0.084,7.7,3.31,18.0,1.9
4,9.2,0.53,0.675,43.0,0.26,0.9976,0.084,8.3,3.31,11.0,2.1
5,10.5,0.66,0.41,42.0,0.64,0.9986,0.093,8.8,3.54,9.0,2.2
6,10.7,0.55,0.785,30.0,0.0,0.9966,0.104,6.8,3.52,14.0,2.4
5,10.1,0.52,0.75,80.0,0.12,0.9958,0.086,6.7,3.38,12.0,2.0
4,9.1,1.12,0.625,119.0,0.2,0.9972,0.08,8.3,3.16,27.0,1.5
5,9.2,0.56,0.45,15.0,0.2,0.9958,0.069,6.2,3.41,3.0,1.6
5,9.1,0.57,0.5,73.0,0.47,0.997,0.086,7.4,3.36,21.0,2.0
6,10.3,0.78,0.3,61.0,0.48,0.9959,0.069,6.3,3.44,18.0,1.8
5,10.1,0.59,0.55,40.0,0.15,0.9961,0.076,6.9,3.41,19.0,2.2
6,9.9,1.95,0.49,136.0,0.28,0.9972,0.11,8.6,2.93,20.0,1.9
5,9.6,0.64,0.49,31.0,0.26,0.9966,0.062,7.7,3.39,9.0,1.9
5,9.5,1.22,0.39,125.0,0.44,0.9978,0.107,9.3,3.14,34.0,2.1
5,9.0,0.53,0.62,24.0,0.08,0.9978,0.076,7.0,3.48,8.0,1.8
5,9.5,0.54,0.52,140.0,0.26,0.9964,0.079,7.9,3.23,42.0,1.9
6,9.9,1.95,0.49,136.0,0.28,0.9972,0.11,8.6,2.93,20.0,1.9
5,9.6,0.64,0.49,31.0,0.26,0.9966,0.062,7.7,3.39,9.0,1.9
4,10.5,0.48,1.02,85.0,0.04,0.9938,0.045,5.0,3.75,41.0,1.4
5,10.7,0.56,0.775,23.0,0.0,0.9965,0.102,6.8,3.45,8.0,3.0
5,9.8,0.56,0.9,10.0,0.06,0.9967,0.079,7.6,3.39,5.0,2.5
6,9.0,0.59,0.545,35.0,0.18,0.9972,0.08,8.1,3.3,13.0,1.9
6,10.2,0.61,0.61,50.0,0.3,0.9972,0.084,8.3,3.4,11.0,2.1
6,9.0,0.59,0.545,35.0,0.18,0.9972,0.08,8.1,3.3,13.0,1.9
5,9.2,0.51,0.575,65.0,0.22,0.9967,0.077,8.1,3.29,12.0,2.1
5,9.4,0.48,0.49,36.0,0.24,0.996,0.07,7.2,3.33,5.0,2.2
5,9.2,0.51,0.575,65.0,0.22,0.9967,0.077,8.1,3.29,12.0,2.1
5,9.3,1.31,0.41,69.0,0.68,0.9973,0.467,7.8,3.08,18.0,1.7
5,9.3,0.79,0.63,64.0,0.31,0.9969,0.088,6.2,3.46,15.0,1.7
5,9.5,0.93,0.56,47.0,0.19,0.9964,0.104,7.8,3.19,12.0,1.8
5,9.8,0.66,0.62,108.0,0.09,0.9964,0.084,8.4,3.15,11.0,2.2
6,9.7,0.67,0.31,46.0,0.44,0.9988,0.08,10.1,3.32,22.0,2.3
5,9.5,0.93,0.56,47.0,0.19,0.9964,0.104,7.8,3.19,12.0,1.8
6,10.5,0.63,0.4,62.0,0.31,0.9966,0.09,9.4,3.07,13.0,2.2
6,10.0,0.61,0.54,40.0,0.28,0.9978,0.077,8.3,3.39,11.0,1.9
5,9.0,0.57,1.07,89.0,0.09,0.9962,0.178,7.3,3.3,10.0,1.7
6,10.9,0.6,0.55,56.0,0.04,0.9962,0.119,8.8,3.21,14.0,2.2
5,9.2,0.52,0.695,13.0,0.0,0.998,0.075,7.3,3.49,3.0,2.5
5,9.5,0.48,0.5,102.0,0.17,0.996,0.082,7.8,3.39,21.0,1.6
5,10.9,0.49,1.33,12.0,0.0,0.9964,0.081,8.2,3.53,3.0,1.7
5,10.9,0.48,1.33,12.0,0.0,0.9964,0.082,8.1,3.54,3.0,1.8
7,10.5,0.92,0.59,16.0,0.16,0.9962,0.065,8.0,3.42,3.0,1.8
5,9.4,0.66,0.745,134.0,0.56,0.9968,0.118,8.0,3.24,30.0,2.0
5,13.0,0.63,0.5,99.0,0.09,0.9937,0.049,5.6,3.63,17.0,2.3
6,9.9,0.55,1.04,29.0,0.05,0.9959,0.084,7.9,3.22,13.0,2.2
5,9.6,0.82,0.745,63.0,0.11,0.9965,0.09,8.4,3.19,16.0,1.9
5,9.2,0.64,0.415,45.0,0.36,0.9972,0.081,7.2,3.48,13.0,2.0
5,9.6,0.82,0.745,63.0,0.11,0.9965,0.09,8.4,3.19,16.0,1.9
6,14.0,0.79,0.34,63.0,0.0,0.9916,0.05,5.2,3.68,27.0,1.8
5,9.4,0.58,0.39,20.0,0.08,0.9954,0.066,6.3,3.34,3.0,1.7
6,14.0,0.79,0.34,63.0,0.0,0.9916,0.05,5.2,3.68,27.0,1.8
5,9.4,0.62,0.67,141.0,0.55,0.9968,0.117,8.1,3.17,32.0,1.8
5,10.0,0.52,0.68,94.0,0.02,0.9944,0.087,5.8,3.54,21.0,1.8
6,10.2,0.58,0.49,30.0,0.1,0.9959,0.074,6.9,3.42,12.0,2.3
6,10.3,0.53,0.33,11.0,0.47,0.9958,0.077,7.3,3.33,5.0,2.1
4,9.4,2.0,0.52,69.0,1.0,0.9996,0.61,9.2,2.74,32.0,3.4
5,10.1,0.54,0.6,99.0,0.03,0.995,0.095,7.5,3.35,25.0,1.8
5,10.1,0.54,0.6,99.0,0.03,0.995,0.095,7.5,3.35,25.0,1.8
5,10.5,0.71,0.43,128.0,0.42,0.9973,0.071,7.1,3.42,28.0,5.5
5,10.5,0.72,0.43,129.0,0.42,0.9973,0.07,7.1,3.42,29.0,5.5
5,10.5,0.71,0.43,128.0,0.42,0.9973,0.071,7.1,3.42,28.0,5.5
5,9.3,0.5,0.68,22.0,0.0,0.9969,0.073,7.1,3.48,12.0,2.2
6,9.3,0.57,0.6,86.0,0.18,0.9968,0.079,6.8,3.59,18.0,1.9
5,9.6,0.56,0.95,20.0,0.03,0.9959,0.09,7.6,3.2,7.0,2.0
4,9.2,1.08,0.68,20.0,0.02,0.9965,0.072,7.6,3.17,9.0,1.3
6,10.0,0.56,0.53,31.0,0.04,0.9964,0.076,7.8,3.33,17.0,1.7
5,9.4,0.49,0.6,121.0,0.26,0.9982,0.07,7.4,3.37,36.0,7.3
5,9.4,0.49,0.59,121.0,0.26,0.9981,0.07,7.3,3.37,35.0,7.2
5,9.5,0.62,0.63,96.0,0.48,0.9961,0.1,7.8,3.19,14.0,1.7
5,10.2,0.52,0.64,101.0,0.1,0.9956,0.085,6.8,3.34,18.0,2.1
4,9.0,0.48,0.55,42.0,0.03,0.9956,0.072,7.3,3.37,17.0,1.6
6,10.4,0.55,0.63,44.0,0.07,0.9953,0.089,6.8,3.47,11.0,2.1
4,9.1,0.33,0.885,8.0,0.03,0.9972,0.058,7.9,3.36,4.0,1.8
6,9.2,0.61,0.42,18.0,0.17,0.9972,0.073,8.0,3.29,6.0,2.0
6,11.5,0.57,0.62,42.0,0.05,0.9961,0.068,7.4,3.42,24.0,1.9
5,9.5,0.78,0.5,49.0,0.04,0.9958,0.085,6.9,3.35,19.0,1.5
5,9.5,0.47,0.38,35.0,0.21,0.9961,0.08,7.3,3.33,7.0,2.0
6,10.5,0.61,0.52,38.0,0.42,0.9972,0.087,7.5,3.58,8.0,2.3
5,9.6,0.56,0.805,20.0,0.0,0.9969,0.068,7.0,3.48,7.0,2.5
5,9.5,0.59,0.61,42.0,0.14,0.9969,0.067,8.8,3.19,10.0,2.4
5,9.5,0.59,0.61,42.0,0.14,0.9969,0.067,8.8,3.19,10.0,2.4
5,9.3,1.02,0.61,110.0,0.49,0.9972,0.27,8.9,3.12,23.0,2.0
5,9.3,0.52,0.73,42.0,0.02,0.9972,0.076,7.2,3.44,16.0,2.5
5,9.3,0.58,0.61,65.0,0.2,0.9971,0.077,6.8,3.54,11.0,1.8
6,9.3,0.58,0.62,62.0,0.21,0.997,0.079,6.7,3.52,8.0,1.9
5,9.7,0.53,0.31,85.0,0.57,0.9971,0.111,8.9,3.26,26.0,2.0
5,9.2,0.55,0.39,67.0,0.48,0.9972,0.082,7.4,3.34,14.0,2.0
5,9.5,0.55,0.5,143.0,0.33,0.9968,0.084,7.9,3.2,15.0,2.0
5,9.4,0.62,0.5,127.0,0.35,0.9976,0.077,8.2,3.23,21.0,2.9
6,9.8,0.62,0.37,49.0,0.25,0.9974,0.074,6.4,3.57,21.0,1.9
5,9.7,0.55,0.55,28.0,0.21,0.9964,0.071,7.6,3.28,7.0,2.2
5,9.7,0.55,0.55,28.0,0.21,0.9964,0.071,7.6,3.28,7.0,2.2
5,10.2,0.59,0.58,55.0,0.3,0.9968,0.074,7.3,3.46,15.0,2.4
6,10.1,0.97,0.3,27.0,0.6,0.9981,0.067,11.5,3.11,12.0,2.0
4,11.4,0.43,1.09,31.0,0.06,0.9948,0.061,6.9,3.51,12.0,2.1
7,10.3,0.82,0.32,24.0,0.47,0.99695,0.056,9.6,3.22,9.0,1.4
6,9.2,0.56,0.43,37.0,0.36,0.99615,0.089,7.0,3.34,14.0,1.6
7,10.8,0.77,0.3,28.0,0.74,0.9994,0.095,12.8,3.2,9.0,2.6
7,10.8,0.77,0.3,28.0,0.74,0.9994,0.095,12.8,3.2,9.0,2.6
5,9.4,0.67,0.44,95.0,0.28,0.9966,0.1,7.8,3.22,18.0,2.7
6,12.4,0.86,0.53,19.0,0.6,0.99585,0.039,9.7,3.3,5.0,2.0
6,10.0,0.56,0.725,62.0,0.24,0.99685,0.083,8.0,3.35,10.0,2.8
5,10.1,0.43,0.57,65.0,0.26,0.9959,0.06,8.2,3.3,28.0,2.2
6,9.8,0.71,0.735,41.0,0.08,0.9974,0.092,7.8,3.24,10.0,2.4
5,10.5,0.76,0.49,121.0,0.49,0.9974,0.06,7.0,3.34,26.0,5.6
5,11.0,0.57,0.625,49.0,0.16,0.9962,0.101,8.7,3.14,13.0,2.0
5,9.1,0.55,0.725,41.0,0.22,0.9967,0.072,8.1,3.36,11.0,2.2
5,9.7,0.54,0.49,44.0,0.19,0.9957,0.076,7.5,3.39,10.0,1.9
6,9.4,0.59,0.34,58.0,0.37,0.9964,0.082,7.8,3.34,24.0,2.0
5,9.4,0.57,0.53,72.0,0.26,0.9957,0.101,7.4,3.15,16.0,2.0
5,9.5,0.6,0.61,10.0,0.04,0.99525,0.057,6.8,3.42,5.0,1.5
6,10.0,0.6,0.645,28.0,0.25,0.99815,0.083,8.6,3.28,8.0,2.0
6,10.5,0.58,0.43,63.0,0.25,0.99615,0.073,7.7,3.37,29.0,2.6
6,9.5,1.61,0.59,81.0,0.5,0.9964,0.337,8.9,3.04,27.0,2.0
7,12.2,0.62,0.48,106.0,0.04,0.9927,0.054,5.2,3.54,19.0,1.6
6,9.9,0.52,0.38,49.0,0.06,0.99625,0.078,8.0,3.37,12.0,1.8
6,9.6,0.7,0.37,58.0,0.2,0.998,0.09,8.5,3.34,18.0,2.8
6,9.0,0.55,1.0,37.0,0.09,0.99685,0.065,8.2,3.32,7.0,2.3
6,9.0,0.58,0.63,38.0,0.0,0.99675,0.097,7.2,3.37,14.0,1.9
5,9.3,1.09,0.635,62.0,0.37,0.9971,0.263,8.9,3.0,5.0,1.7
6,10.9,0.71,0.38,24.0,0.56,0.99925,0.093,12.0,3.14,6.0,2.1
6,9.8,0.49,0.58,109.0,0.1,0.99565,0.102,7.7,3.08,28.0,1.8
7,9.2,0.84,0.21,24.0,0.44,1.00005,0.075,15.0,3.07,10.0,2.2
7,9.2,0.84,0.21,24.0,0.44,1.00005,0.075,15.0,3.07,10.0,2.2
6,9.9,0.96,0.66,23.0,0.0,0.9983,0.084,7.3,3.61,6.0,2.0
5,9.5,0.52,0.68,51.0,0.07,0.99685,0.075,7.1,3.38,16.0,1.9
6,9.9,0.96,0.66,23.0,0.0,0.9983,0.084,7.3,3.61,6.0,2.0
6,10.0,0.78,0.32,37.0,0.44,0.9985,0.063,10.8,3.22,16.0,1.6
6,9.9,0.7,0.6,34.0,0.0,0.9972,0.074,7.1,3.47,16.0,1.8
5,10.5,0.53,0.35,21.0,0.48,0.9986,0.09,11.1,3.17,5.0,3.1
5,9.5,0.59,0.775,86.0,0.42,0.9959,0.092,7.7,3.23,8.0,1.9
5,9.3,0.57,0.57,119.0,0.23,0.99675,0.073,8.0,3.26,17.0,3.2
5,9.2,0.62,0.34,13.0,0.37,0.998,0.075,9.4,3.22,5.0,2.2
5,9.2,0.67,0.695,56.0,0.0,0.9968,0.075,6.6,3.49,12.0,2.1
5,9.4,1.26,0.41,45.0,0.76,0.9968,0.611,7.7,3.06,8.0,1.8
7,10.5,0.8,0.31,33.0,0.47,0.99965,0.085,10.0,3.36,14.0,2.6
5,9.3,0.65,0.33,45.0,0.23,0.99625,0.077,7.9,3.29,18.0,1.7
4,9.4,0.6,0.975,67.0,0.04,0.99565,0.087,7.0,3.35,12.0,2.0
5,10.0,0.57,0.52,35.0,0.03,0.99575,0.07,8.0,3.34,10.0,1.7
5,9.3,0.67,0.37,49.0,0.23,0.9963,0.077,7.9,3.28,23.0,1.8
5,10.9,0.87,0.56,27.0,0.49,0.9999,0.064,12.5,3.08,5.0,2.4
4,9.8,0.72,0.87,61.0,0.0,1.00025,0.096,8.1,3.6,26.0,3.3
8,12.8,0.86,0.35,37.0,0.46,0.9973,0.078,7.9,3.35,15.0,3.6
6,9.4,0.91,0.54,27.0,0.04,0.9987,0.077,6.9,3.69,7.0,3.0
6,10.1,0.97,0.18,23.0,0.51,0.9996,0.104,11.5,3.28,4.0,4.0
6,10.7,0.67,0.545,61.0,0.06,0.9965,0.087,7.9,3.36,27.0,4.0
6,10.7,0.67,0.545,61.0,0.06,0.9965,0.087,7.9,3.36,27.0,4.0
6,9.4,0.91,0.54,27.0,0.04,0.9987,0.077,6.9,3.69,7.0,3.0
6,10.1,0.97,0.18,23.0,0.51,0.9996,0.104,11.5,3.28,4.0,4.0
8,12.6,0.82,0.32,13.0,0.45,0.9976,0.073,10.3,3.23,5.0,6.4
7,10.5,0.77,0.4,47.0,0.32,0.9991,0.087,8.9,3.38,10.0,5.6
6,9.3,0.82,0.26,19.0,0.44,0.9986,0.071,11.4,3.12,6.0,3.6
7,9.9,1.08,0.27,10.0,0.68,0.9972,0.358,7.7,3.25,5.0,3.5
7,10.5,0.77,0.4,47.0,0.32,0.9991,0.087,8.9,3.38,10.0,5.6
5,9.8,0.71,0.59,71.0,0.07,1.00015,0.102,9.9,3.31,32.0,3.4
5,9.8,0.71,0.59,71.0,0.07,1.00015,0.102,9.9,3.31,32.0,3.4
6,10.3,0.76,0.45,49.0,0.55,0.9997,0.073,12.0,3.1,25.0,2.0
6,10.3,0.7,0.4,53.0,0.12,0.9967,0.092,7.5,3.37,29.0,3.0
7,10.6,0.86,0.52,49.0,0.09,0.9976,0.091,8.7,3.34,20.0,2.5
5,9.2,0.95,0.42,98.0,0.53,1.001,0.105,11.6,3.2,33.0,3.3
7,10.6,0.86,0.52,49.0,0.09,0.9976,0.091,8.7,3.34,20.0,2.5
6,10.3,0.64,0.55,48.0,0.23,0.9994,0.091,10.4,3.22,18.0,2.7
6,10.1,0.6,0.36,16.0,0.25,0.9964,0.098,6.9,3.41,5.0,2.4
6,9.5,0.81,0.34,53.0,0.52,1.0014,0.094,13.3,3.05,17.0,3.2
5,9.5,0.64,0.5,27.0,0.46,1.0001,0.073,10.8,3.05,5.0,2.5
5,9.9,0.52,0.83,70.0,0.37,0.9981,0.086,10.6,3.16,26.0,2.6
5,9.6,0.73,0.63,29.0,0.06,0.99855,0.083,7.1,3.67,8.0,2.0
5,9.7,0.8,0.65,31.0,0.02,0.9993,0.094,7.2,3.67,5.0,2.3
6,10.7,0.59,0.53,44.0,0.06,0.9965,0.086,7.5,3.38,20.0,2.6
6,10.1,0.64,0.18,15.0,0.48,0.9973,0.068,11.1,3.22,7.0,1.5
5,10.0,0.72,0.705,28.0,0.12,0.9994,0.092,8.3,3.51,12.0,2.6
5,9.2,0.52,0.65,90.0,0.6,0.9973,0.112,8.4,3.2,12.0,2.1
5,9.4,0.52,0.62,54.0,0.32,0.9966,0.082,7.6,3.36,7.0,2.2
6,9.5,0.62,0.41,14.0,0.42,0.9994,0.213,10.3,3.19,6.0,2.4
6,9.5,0.63,0.43,12.0,0.44,0.9994,0.214,10.3,3.19,5.0,2.4
6,9.4,0.54,0.53,105.0,0.24,0.996,0.072,7.9,3.27,15.0,2.0
6,9.5,0.63,0.46,98.0,0.31,0.99815,0.093,9.0,3.32,19.0,2.8
5,9.4,0.53,0.47,135.0,0.3,0.9976,0.076,8.6,3.3,30.0,3.0
5,11.0,0.68,0.36,72.0,0.29,0.99645,0.087,7.4,3.39,26.0,2.6
7,11.5,0.71,0.66,59.0,0.39,0.9989,0.083,9.8,3.37,21.0,3.2
